[2025-10-28 08:00:02] ==================================================
[2025-10-28 08:00:02] 나라장터 복수예가입찰 데이터 전처리 V2 시작
[2025-10-28 08:00:02] 원본 디렉토리: /mnt/a/25/data
[2025-10-28 08:00:02] 출력 디렉토리: /mnt/a/25/data전처리완료
[2025-10-28 08:00:02] ==================================================
[2025-10-28 08:00:02] 발견된 Excel 파일 수: 938
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20230930042-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20231004166-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20231008517-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20231015905-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20231019355-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20231023047-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20231028210-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20231106061-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20231108684-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20231131195-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20231137580-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20231141301-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20231141456-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20231149830-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20231202806-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20231207390-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20231231629-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240114158-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240119977-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240127284-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240210184-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240217228-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240225262-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240227906-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240236466-01.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240239910-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240241215-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240321320-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240322734-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240324469-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240334044-01.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240345467-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240401218-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240418951-00.xlsx
[2025-10-28 08:00:02] 쌍이 없는 파일 제외: 20240423193-00.xlsx
